track_id,acousticness,danceability,energy,instrumentalness,liveness,speechiness,tempo,valence
2,0.416675233,0.675893985,0.634476268,0.010628068,0.177646571,0.159310065,165.922,0.576660988
3,0.374407769,0.528643062,0.817461132,0.001851103,0.105879944,0.461818128,126.957,0.269240242
5,0.043566899,0.74556587,0.701469992,0.000696799,0.373143312,0.124595342,100.26,0.621661224
10,0.951669965,0.658178654,0.924525162,0.965427015,0.115473884,0.032985219,111.562,0.963589892
134,0.452217307,0.51323805,0.560409931,0.019442694,0.096566694,0.525519379,114.29,0.894072272
139,0.106549525,0.260911173,0.607066864,0.83508699,0.223676271,0.030569276,196.961,0.16026709
140,0.376312498,0.734079023,0.265684773,0.669581124,0.085995122,0.039068226,107.952,0.609991273
141,0.96365688,0.435932998,0.075632147,0.345493491,0.105685869,0.026657849,33.477,0.163949934
142,0.662881125,0.379065477,0.82385578,0.910266184,0.088705255,0.079090355,147.781,0.092867632
144,0.909011429,0.443642591,0.641997168,0.9240917,0.267669451,0.089658913,128.537,0.788250782
145,0.235506187,0.438671692,0.487751988,0.71612184,0.070359308,0.047297772,120.79,0.650451689
146,0.532019493,0.417680921,0.476422498,0.402500406,0.172104669,0.035360722,135.468,0.682397181
147,0.778409916,0.706681063,0.866116014,0.806702599,0.104649817,0.065083465,120.218,0.917612908
153,0.98830555,0.2556609,0.979773793,0.973005724,0.121342,0.051739762,90.241,0.034017867
154,0.970134887,0.352946131,0.023851562,0.957112885,0.113260721,0.032176764,53.758,0.035631561
155,0.981657344,0.142249248,0.912122086,0.967293978,0.363509516,0.087526988,91.912,0.034325256
169,0.989141175,0.225977528,0.722834853,0.263076279,0.092370532,0.053406352,94.322,0.028347208
170,0.88665971,0.298518303,0.744332563,0.92095049,0.139587018,0.088781041,97.88,0.073547547
171,0.698277761,0.285815646,0.213493734,0.9556913,0.087035928,0.064093819,125.645,0.150599136
172,0.815548904,0.144125071,0.892721187,0.900430124,0.104703467,0.102293658,138.68,0.034916419
173,0.842112888,0.285293229,0.564688697,0.951624346,0.110481378,0.040610547,166.552,0.254299214
174,0.367392646,0.339698071,0.846639439,0.909186179,0.19894398,0.462607473,70.887,0.048242733
175,0.993927617,0.310089977,0.95249313,0.274311479,0.354230519,0.825743907,69.413,0.033402312
176,0.833516014,0.206509279,0.779140487,0.940841086,0.372311399,0.077227145,123.583,0.028143816
177,0.754275299,0.209112907,0.579959277,0.736865435,0.112164893,0.073350202,95.932,0.083330261
178,0.995553322,0.18614593,0.413054236,0.955137448,0.111716276,0.040892505,61.316,0.252819344
179,0.958873292,0.274608855,0.98948247,0.919362308,0.546515688,0.185316312,84.173,0.0332076
189,0.993670209,0.622578036,0.216906878,0.972870004,0.110989349,0.029923503,92.124,0.039641258
190,0.99062949,0.500753457,0.371229743,0.102838444,0.218810194,0.032528811,100.919,0.251232305
191,0.982463915,0.286557293,0.238347942,0.942936852,0.097493219,0.02990791,115.292,0.086136508
192,0.992865643,0.653847565,0.044151244,0.338404211,0.112740831,0.845311928,129.673,0.788160273
193,0.914038875,0.640601044,0.164071252,0.760562193,0.258399033,0.099210321,49.831,0.190789711
194,0.992905949,0.494730177,0.200337559,0.618086852,0.086449938,0.038937795,103.779,0.253244415
195,0.989495551,0.493989456,0.184508387,0.968416643,0.116594587,0.04234154,50.168,0.267029516
196,0.995459498,0.370060505,0.146733775,0.972813356,0.117827832,0.035720032,107.346,0.136060118
197,0.983585184,0.602656565,0.007043697,0.791713442,0.080021913,0.421113443,128.698,0.770009457
198,0.994758357,0.444476637,0.254202456,0.907322268,0.138199081,0.032691843,107.605,0.192034077
199,0.837046224,0.652686963,0.208152213,0.913980896,0.098106908,0.044584711,86.536,0.34776472
200,0.960191604,0.215925929,0.295126456,0.802977714,0.170076121,0.037825105,200.391,0.367739929
201,0.991812893,0.461854871,0.543751241,0.964922262,0.137006432,0.02568771,93.945,0.758631548
202,0.994847915,0.571658937,0.211420522,0.968892685,0.120100005,0.035420088,111.007,0.192613284
203,0.992764778,0.58898676,0.137918295,0.087376056,0.09576879,0.058463974,122.31,0.631042683
204,0.976754028,0.413428413,0.226167358,0.264870994,0.145063658,0.039428972,105.012,0.253538532
205,0.995593241,0.290893659,0.133998154,0.965615896,0.101731056,0.032228432,103.425,0.126066853
206,0.995648722,0.403129003,0.209892274,0.972870004,0.128509764,0.038009667,119.073,0.929618895
207,0.987258116,0.633733393,0.008987468,0.91008157,0.107974576,0.248673322,49.581,0.708865941
208,0.985727423,0.416511608,0.363309578,0.783343608,0.208498269,0.03317752,110.579,0.218290722
209,0.995272848,0.480660903,0.575464372,0.896955117,0.36915669,0.080061934,96.053,0.222953144
210,0.98953329,0.43018958,0.227035859,0.524683851,0.105815294,0.034497728,96.845,0.272791224
211,0.991135783,0.605553826,0.173004336,0.806026674,0.165239674,0.029838101,95.105,0.154600307
212,0.844050474,0.668737816,0.35695776,0.029864837,0.618520472,0.02892711,100.117,0.348817403
213,0.933741035,0.312719823,0.340999047,0.919242324,0.082975843,0.032745236,142.499,0.043053815
